item_id,order_id,product_id,quantity,unit_price,total_price,return_requested,warehouse_location
ITEM00000033,ORD0000012,PROD01321,3,14373.15,43119.45,No,DELHI WH
ITEM00000034,ORD0000012,PROD00697,4,27642.4,110569.6,No,
ITEM00000035,ORD0000012,PROD00045,3,33663.95,,No,Bangalore WH
ITEM00000036,ORD0000013,PROD00114,8,48773.73,390189.84,No,Chennai WH
ITEM00000037,ORD0000013,PROD00093,8,53951.5,431612.0,No,
ITEM00000038,ORD0000013,PROD00852,5,58061.95,0,No,Hyderabad WH
ITEM00000039,ORD0000013,PROD00590,3,,113281.38,1,DELHI WH
ITEM00000040,ORD0000014,PROD01802,5,46779.04,233895.2,No,
ITEM00000041,ORD0000014,PROD01626,9,32404.54,291640.86,No,BLR
ITEM00000042,ORD0000014,PROD01474,999,48018.44,48018.44,No,
ITEM00000043,ORD0000014,PROD01291,8,15552.64,124421.12,no,HYD
ITEM00000044,ORD0000014,PROD00849,6,15904.62,95427.72,1,Delhi WH
ITEM00000045,ORD0000015,PROD00392,4,-56449.65,225798.6,No,Bangalore WH
ITEM00000046,ORD0000015,PROD01307,4,77255.52,309022.08,No,Mumbai WH
ITEM00000047,ORD0000015,PROD01056,9,39053.2,351478.8,No,Delhi WH
ITEM00000048,ORD0000015,PROD00926,2,39168.07,78336.14,Yes,mumbai wh
ITEM00000049,ORD0000015,PROD01759,3,78132.29,234396.87,Yes,Chennai WH
ITEM00000050,ORD0000016,PROD01805,9,0,342280.8,yes,Delhi WH
ITEM00000051,ORD0000016,PROD00112,9,79429.14,714862.26,yes,Delhi WH
ITEM00000052,ORD0000017,PROD01209,10,78211.75,782117.5,0,DELHI WH
ITEM00000053,ORD0000017,PROD00310,7,54448.84,381141.88,No,HYD
ITEM00000054,ORD0000018,PROD00680,3,24638.95,73916.85,1,Hyderabad WH
ITEM00000055,ORD0000018,PROD00867,0,72828.85,364144.25,No,Hyderabad WH
ITEM00000056,ORD0000018,PROD00858,9,11699.06,,,Hyderabad WH
ITEM00000057,ORD0000018,PROD01071,2,72498.91,144997.82,,Mumbai WH
ITEM00000058,ORD0000018,PROD01446,5,60116.09,300580.45,No,Hyderabad WH
ITEM00000059,ORD0000019,PROD01927,-1,-19973.27,119839.62,Yes,
ITEM00000060,ORD0000019,PROD00354,6,66713.77,0,No,HYD
ITEM00000061,ORD0000019,PROD00016,5,47015.86,235079.3,No,Delhi WH
ITEM00000062,ORD0000020,PROD01439,8,21598.39,172787.12,yes,BLR
ITEM00000063,ORD0000021,PROD00023,3,29343.96,88031.88,No,HYD
ITEM00000064,ORD0000021,PROD00028,2,55351.07,110702.14,No,HYD
ITEM00000065,ORD0000021,PROD00695,7,4774.46,33421.22,No,Bangalore WH
ITEM00000066,ORD0000022,PROD01505,4,46561.87,186247.48,No,mumbai wh
ITEM00000067,ORD0000023,PROD00096,7,6406.01,44842.07,No,Delhi WH
ITEM00000068,ORD0000023,PROD00814,6,63561.18,381367.08,No,HYD
ITEM00000069,ORD0000023,PROD00628,4,316.45,-1265.8,No,Mumbai WH
ITEM00000070,ORD0000023,PROD01815,8,33512.26,268098.08,No,BLR
ITEM00000071,ORD0000023,PROD00646,3,-17358.87,52076.61,No,HYD
ITEM00000072,ORD0000024,PROD00452,9,15087.88,135790.92,no,Bangalore WH
ITEM00000073,ORD0000024,PROD00163,10,71797.42,717974.2,No,NA
ITEM00000074,ORD0000025,PROD00469,7,-51285.94,359001.58,No,Delhi WH
ITEM00000075,ORD0000025,PROD01270,999,24585.21,172096.47,No,NA
ITEM00000076,ORD0000025,PROD01098,-1,9206.13,64442.91,yes,Hyderabad WH
ITEM00000077,ORD0000026,PROD01445,3,79203.6,237610.8,No,BLR
ITEM00000078,ORD0000027,PROD01049,3,24094.5,72283.5,0,mumbai wh
ITEM00000079,ORD0000027,PROD95017,10,39049.59,390495.9,No,Delhi WH
ITEM00000080,ORD0000027,PROD00492,5,,322962.9,No,HYD
ITEM00000081,ORD0000028,PROD01031,6,69911.52,-419469.12,1,NA
ITEM00000082,ORD0000029,PROD01342,2,68195.91,136391.82,No,
ITEM00000083,ORD0000029,PROD00139,8,63299.21,506393.68,No,
ITEM00000084,ORD0000030,PROD01255,5,5602.13,28010.65,No,
ITEM00000085,ORD0000030,PROD00281,2,79527.41,159054.82,yes,BLR
ITEM00000086,ORD0000030,PROD00558,9,45453.45,409081.05,Yes,Bangalore WH
ITEM00000087,ORD0000031,PROD00722,5,29540.25,147701.25,No,Hyderabad WH
ITEM00000088,ORD0000031,PROD01622,6,50182.0,301092.0,no,
ITEM00000089,ORD0000031,PROD01211,10,21070.99,210709.9,No,Bangalore WH
ITEM00000090,ORD0000031,PROD01617,2,13362.18,26724.36,No,BLR
ITEM00000091,ORD0000031,PROD01043,9,-41055.77,369501.93,No,
ITEM00000092,ORD0000032,PROD00327,4,53883.68,215534.72,No,DELHI WH
ITEM00000093,ORD0000032,PROD00115,6,59332.27,355993.62,No,NA
ITEM00000094,ORD0000032,PROD00995,10,77975.05,779750.5,No,Mumbai WH
ITEM00000095,ORD0000032,PROD97757,1,15971.3,15971.3,No,
ITEM00000096,ORD0000033,PROD01777,7,17935.14,125545.98,No,Bangalore WH
ITEM00000097,ORD0000034,PROD01299,6,53575.8,,No,Delhi WH
ITEM00000098,ORD0000034,PROD00711,9,71286.9,641582.1,No,
ITEM00000099,ORD0000034,PROD00606,2,62710.66,125421.32,No,Bangalore WH
ITEM00000100,ORD0000034,PROD00102,9,66736.68,600630.12,No,
ITEM00000101,ORD0000034,PROD00603,8,49951.69,399613.52,No,Mumbai WH
ITEM00000102,ORD0000035,PROD00289,4,26575.88,106303.52,No,Chennai WH
ITEM00000103,ORD0000035,PROD01841,9,28225.27,254027.43,No,
ITEM00000104,ORD0000035,PROD01778,4,49924.84,199699.36,No,
ITEM00000105,ORD0000035,PROD01490,7,53731.92,376123.44,No,Hyderabad WH
ITEM00000106,ORD0000035,PROD00582,9,7364.49,66280.41,No,Hyderabad WH
ITEM00000107,ORD0000036,PROD01152,8,78154.09,625232.72,No,DELHI WH
ITEM00000108,ORD0000036,PROD00360,2,51248.81,102497.62,No,Delhi WH
ITEM00000109,ORD0000037,PROD01886,2,22834.9,45669.8,No,HYD
ITEM00000110,ORD0000037,PROD00736,1,52222.36,52222.36,No,HYD
ITEM00000111,ORD0000038,PROD01368,5,28896.63,144483.15,Yes,NA
ITEM00000112,ORD0000039,PROD01788,9,61311.47,551803.23,1,Mumbai WH
ITEM00000113,ORD0000039,PROD00388,5,42537.69,212688.45,No,Delhi WH
ITEM00000114,ORD0000040,PROD01768,6,16242.77,97456.62,No,Bangalore WH
ITEM00000115,ORD0000040,PROD00450,,32806.31,-131225.24,No,mumbai wh
ITEM00000116,ORD0000040,PROD01360,2,15765.47,31530.94,No,BLR
ITEM00000117,ORD0000040,PROD01252,5,11854.68,59273.4,No,Chennai WH
ITEM00000118,ORD0000041,PROD01704,3,61059.16,183177.48,No,NA
ITEM00000119,ORD0000041,PROD00935,3,0,159546.06,0,BLR
ITEM00000120,ORD0000042,PROD00738,,62408.83,561679.47,No,BLR
ITEM00000121,ORD0000042,PROD01159,5,6435.48,32177.4,No,Bangalore WH
ITEM00000122,ORD0000043,PROD00293,,52987.95,529879.5,No,Delhi WH
ITEM00000123,ORD0000043,PROD01382,6,23208.24,139249.44,No,BLR
ITEM00000124,ORD0000044,PROD00232,5,53823.95,269119.75,No,
ITEM00000125,ORD0000044,PROD01717,6,58318.0,349908.0,No,mumbai wh
ITEM00000126,ORD0000044,PROD01370,9,26997.91,242981.19,No,DELHI WH
ITEM00000127,ORD0000044,PROD01565,2,9751.67,19503.34,yes,BLR
ITEM00000128,ORD0000044,PROD00856,2,9999999,37885.66,yes,DELHI WH
ITEM00000129,ORD0000045,PROD00195,0,-68842.83,344214.15,No,
ITEM00000130,ORD0000045,PROD01828,4,45890.71,183562.84,Yes,mumbai wh
ITEM00000131,ORD0000046,PROD01781,7,62483.6,437385.2,No,
ITEM00000132,ORD0000046,PROD01624,10,9304.51,93045.1,0,DELHI WH
ITEM00000133,ORD0000046,PROD01728,9,9999999,633546.54,No,HYD
ITEM00000134,ORD0000046,PROD00078,2,13472.64,26945.28,No,
ITEM00000135,ORD0000047,PROD01888,8,24950.02,199600.16,No,Hyderabad WH
ITEM00000136,ORD0000047,PROD01340,8,18324.7,0,No,
ITEM00000137,ORD0000048,PROD00078,9,30233.94,272105.46,No,
ITEM00000138,ORD0000048,PROD01800,8,55040.0,,No,HYD
ITEM00000139,ORD0000048,PROD01935,2,-702.81,1405.62,No,Hyderabad WH
ITEM00000140,ORD0000048,PROD00588,999,28050.84,112203.36,No,NA
ITEM00000141,ORD0000048,PROD01812,2,2744.48,5488.96,No,
ITEM00000142,ORD0000049,PROD00859,4,29260.47,,No,Chennai WH
ITEM00000143,ORD0000049,PROD00299,3,9999999,232716.0,No,Delhi WH
ITEM00000144,ORD0000049,PROD00284,3,34843.65,104530.95,No,Mumbai WH
ITEM00000145,ORD0000050,PROD00523,10,46217.5,462175.0,No,Chennai WH
ITEM00000146,ORD0000050,PROD00996,3,62395.78,187187.34,No,
ITEM00000147,ORD0000050,PROD01370,10,9999999,166002.3,No,BLR
ITEM00000148,ORD0000051,PROD00319,7,59628.58,417400.06,No,
ITEM00000149,ORD0000051,PROD01117,5,37410.6,0,no,Bangalore WH
ITEM00000150,ORD0000052,PROD01736,10,77834.66,778346.6,No,Mumbai WH
ITEM00000151,ORD0000053,PROD01605,2,23717.71,47435.42,No,Bangalore WH
ITEM00000152,ORD0000053,PROD00869,2,9999999,72883.44,No,Chennai WH
ITEM00000153,ORD0000053,PROD01331,10,54411.82,544118.2,No,Delhi WH
ITEM00000154,ORD0000053,PROD01814,2,70169.97,140339.94,No,Delhi WH
ITEM00000155,ORD0000054,PROD00623,10,23717.99,237179.9,Yes,HYD
ITEM00000156,ORD0000054,PROD01536,5,4409.98,22049.9,No,Chennai WH
ITEM00000157,ORD0000054,PROD01008,1,15339.83,15339.83,No,DELHI WH
ITEM00000158,ORD0000055,PROD00225,2,17058.92,34117.84,No,BLR
ITEM00000159,ORD0000056,PROD00641,9,67358.2,606223.8,No,BLR
ITEM00000160,ORD0000056,PROD00539,2,63431.6,126863.2,no,NA
ITEM00000161,ORD0000057,PROD00414,2,70205.0,140410.0,1,BLR
ITEM00000162,ORD0000057,PROD01120,9,51302.62,461723.58,No,Hyderabad WH
ITEM00000163,ORD0000057,PROD01432,3,61495.36,184486.08,No,HYD
ITEM00000164,ORD0000057,PROD01100,9,73714.59,663431.31,No,Hyderabad WH
ITEM00000165,ORD0000058,PROD01691,7,74154.61,519082.27,No,Bangalore WH
ITEM00000166,ORD0000058,PROD00531,2,15134.52,,No,Hyderabad WH
ITEM00000167,ORD0000058,PROD01515,0,,10086.4,No,NA
ITEM00000168,ORD0000059,PROD01050,4,30813.73,,No,
ITEM00000169,ORD0000059,PROD00685,6,48728.94,292373.64,No,BLR
ITEM00000170,ORD0000059,PROD00947,3,24192.66,72577.98,No,NA
ITEM00000171,ORD0000059,PROD01247,5,34316.07,171580.35,No,HYD
ITEM00000172,ORD0000059,PROD00947,2,73721.06,147442.12,No,mumbai wh
ITEM00000173,ORD0000060,PROD01529,2,10313.12,20626.24,No,Mumbai WH
ITEM00000174,ORD0000060,PROD00017,3,57526.3,172578.9,No,DELHI WH
ITEM00000175,ORD0000060,PROD01815,7,73169.43,512186.01,1,Bangalore WH
ITEM00000176,ORD0000061,PROD00814,2,4200.8,8401.6,No,BLR
ITEM00000177,ORD0000061,PROD01262,9,41093.85,369844.65,No,
ITEM00000178,ORD0000061,PROD01137,4,65972.87,263891.48,No,
ITEM00000179,ORD0000061,PROD00452,9,68738.42,618645.78,0,Bangalore WH
ITEM00000180,ORD0000061,PROD00607,9,12975.98,116783.82,No,Chennai WH
ITEM00000181,ORD0000062,PROD01631,1,76624.31,76624.31,No,mumbai wh
ITEM00000182,ORD0000062,PROD01156,9,56266.27,506396.43,No,DELHI WH
ITEM00000183,ORD0000062,PROD00547,0,71739.41,0,No,BLR
ITEM00000184,ORD0000062,PROD01654,10,46921.45,469214.5,No,DELHI WH
ITEM00000185,ORD0000063,PROD01878,1,75324.95,75324.95,No,DELHI WH
ITEM00000186,ORD0000063,PROD00230,10,61400.5,614005.0,No,HYD
ITEM00000187,ORD0000063,PROD00760,2,62348.7,124697.4,no,HYD
ITEM00000188,ORD0000064,PROD00554,9,26268.65,236417.85,No,
ITEM00000189,ORD0000064,PROD00117,8,,19520.56,No,Mumbai WH
ITEM00000190,ORD0000064,PROD01314,4,59661.17,238644.68,No,DELHI WH
ITEM00000191,ORD0000064,PROD01758,7,4466.4,31264.8,No,DELHI WH
ITEM00000192,ORD0000064,PROD01431,3,8048.92,24146.76,No,Hyderabad WH
ITEM00000193,ORD0000065,PROD01655,3,812.51,2437.53,No,Chennai WH
ITEM00000194,ORD0000065,PROD00217,2,43254.85,86509.7,No,NA
ITEM00000195,ORD0000065,PROD01021,6,66740.71,400444.26,No,Chennai WH
ITEM00000196,ORD0000066,PROD01020,10,66099.09,660990.9,0,Hyderabad WH
ITEM00000197,ORD0000066,PROD01126,9,12085.75,,No,Delhi WH
ITEM00000198,ORD0000066,PROD00030,5,74061.08,370305.4,No,
ITEM00000199,ORD0000067,PROD00107,7,38205.8,267440.6,No,NA
ITEM00000200,ORD0000067,PROD00522,1,-27150.77,27150.77,No,DELHI WH
ITEM00000201,ORD0000067,PROD00396,3,73123.6,219370.8,No,
ITEM00000202,ORD0000067,PROD00839,7,28498.61,199490.27,No,BLR
ITEM00000203,ORD0000067,PROD00907,0,,179377.02,No,NA
ITEM00000204,ORD0000068,PROD01783,9,-36376.47,327388.23,No,
ITEM00000205,ORD0000068,PROD01978,3,55176.06,165528.18,No,HYD
ITEM00000206,ORD0000068,PROD01817,7,78794.07,551558.49,no,HYD
ITEM00000207,ORD0000069,PROD00936,7,14972.69,104808.83,No,
ITEM00000208,ORD0000069,PROD01745,4,16850.06,67400.24,No,mumbai wh
ITEM00000209,ORD0000069,PROD01199,5,35257.21,176286.05,No,Bangalore WH
ITEM00000210,ORD0000070,PROD00887,6,12169.28,73015.68,yes,
ITEM00000211,ORD0000070,PROD00516,4,27676.72,110706.88,No,Bangalore WH
ITEM00000212,ORD0000070,PROD00428,9,-19085.07,171765.63,No,
ITEM00000213,ORD0000071,PROD01083,4,5683.2,22732.8,No,Mumbai WH
ITEM00000214,ORD0000072,PROD01806,3,50920.23,152760.69,1,
ITEM00000215,ORD0000072,PROD00891,3,6116.11,18348.33,Yes,Mumbai WH
ITEM00000216,ORD0000072,PROD00416,7,20040.79,140285.53,No,Bangalore WH
ITEM00000217,ORD0000072,PROD01691,0,68773.42,687734.2,0,BLR
ITEM00000218,ORD0000072,PROD01768,6,52313.39,313880.34,1,Hyderabad WH
ITEM00000219,ORD0000073,PROD00353,0,41217.93,164871.72,No,
ITEM00000220,ORD0000073,PROD01059,8,54224.06,433792.48,No,Bangalore WH
ITEM00000221,ORD0000073,PROD01814,2,62107.24,124214.48,No,NA
ITEM00000222,ORD0000073,PROD01747,7,68757.14,481299.98,No,Delhi WH
ITEM00000223,ORD0000073,PROD01457,8,-14793.37,118346.96,No,BLR
ITEM00000224,ORD0000074,PROD01831,9,1524.93,13724.37,No,Mumbai WH
ITEM00000225,ORD0000074,PROD01219,5,38416.77,192083.85,0,
ITEM00000226,ORD0000074,PROD00223,9,34463.26,310169.34,No,Bangalore WH
ITEM00000227,ORD0000074,PROD01915,10,17224.93,172249.3,No,
ITEM00000228,ORD0000074,PROD00141,10,54430.88,544308.8,No,Hyderabad WH
ITEM00000229,ORD0000075,PROD01992,4,19928.37,79713.48,no,Mumbai WH
ITEM00000230,ORD0000076,PROD00522,2,36951.8,73903.6,0,mumbai wh
ITEM00000231,ORD0000076,PROD00235,4,65513.48,262053.92,No,
ITEM00000232,ORD0000076,PROD01560,2,6393.04,12786.08,No,Chennai WH
ITEM00000233,ORD0000077,PROD00377,6,32448.72,194692.32,,BLR
ITEM00000234,ORD0000077,PROD01208,2,25197.72,50395.44,No,DELHI WH
ITEM00000235,ORD0000078,PROD00958,9,16352.78,147175.02,No,Chennai WH
ITEM00000236,ORD0000078,PROD00762,2,64388.96,128777.92,No,
ITEM00000237,ORD0000078,PROD01581,9,29295.22,263656.98,No,
ITEM00000238,ORD0000079,PROD00420,8,45753.56,366028.48,No,mumbai wh
ITEM00000239,ORD0000079,PROD00680,2,60738.08,121476.16,0,Bangalore WH
ITEM00000240,ORD0000079,PROD00292,6,37558.67,225352.02,0,
ITEM00000241,ORD0000080,PROD00126,8,44057.03,352456.24,No,NA
ITEM00000242,ORD0000080,PROD00064,9,62330.83,560977.47,No,Delhi WH
ITEM00000243,ORD0000080,PROD00573,6,8901.44,53408.64,No,DELHI WH
ITEM00000244,ORD0000080,PROD01696,6,48839.29,293035.74,No,Bangalore WH
ITEM00000245,ORD0000080,PROD90289,1,4040.25,4040.25,No,mumbai wh
ITEM00000246,ORD0000081,PROD01230,5,33460.32,0,No,BLR
ITEM00000247,ORD0000081,PROD93405,2,42738.01,85476.02,No,
ITEM00000248,ORD0000081,PROD01281,2,57810.92,115621.84,No,Chennai WH
ITEM00000249,ORD0000081,PROD00304,1,46381.17,46381.17,No,Hyderabad WH
ITEM00000250,ORD0000082,PROD01169,4,54572.18,0,No,Mumbai WH
ITEM00000251,ORD0000082,PROD00941,2,20248.28,40496.56,No,
ITEM00000252,ORD0000082,PROD00312,4,57832.33,231329.32,No,Bangalore WH
ITEM00000253,ORD0000082,PROD00201,3,69987.41,209962.23,No,Hyderabad WH
ITEM00000254,ORD0000083,PROD00532,10,62154.58,621545.8,No,Mumbai WH
ITEM00000255,ORD0000083,PROD01599,9,56699.04,510291.36,No,mumbai wh
ITEM00000256,ORD0000083,PROD00149,3,3986.92,11960.76,No,NA
ITEM00000257,ORD0000083,PROD01442,8,41543.51,332348.08,No,Delhi WH
ITEM00000258,ORD0000083,PROD01126,10,75218.62,752186.2,No,Hyderabad WH
ITEM00000259,ORD0000084,PROD00978,3,41891.05,125673.15,No,
ITEM00000260,ORD0000084,PROD00962,10,10503.06,105030.6,No,mumbai wh
ITEM00000261,ORD0000084,PROD01842,9,-40664.99,365984.91,No,Chennai WH
ITEM00000262,ORD0000085,PROD01259,8,66895.61,535164.88,No,BLR
ITEM00000263,ORD0000085,PROD01808,8,7297.11,-58376.88,No,Bangalore WH
ITEM00000264,ORD0000085,PROD00082,9,71553.27,643979.43,No,Mumbai WH
ITEM00000265,ORD0000085,PROD00219,6,21821.98,130931.88,No,mumbai wh
ITEM00000266,ORD0000086,PROD00385,2,10822.28,0,No,NA
ITEM00000267,ORD0000086,PROD00318,6,5270.38,31622.28,No,
ITEM00000268,ORD0000086,PROD01338,2,28317.62,56635.24,No,
ITEM00000269,ORD0000087,PROD00349,7,19281.52,134970.64,No,HYD
ITEM00000270,ORD0000087,PROD01893,6,72014.98,432089.88,No,
ITEM00000271,ORD0000087,PROD00404,1,3956.75,3956.75,No,Bangalore WH
ITEM00000272,ORD0000087,PROD00340,1,12917.51,12917.51,,Mumbai WH
ITEM00000273,ORD0000088,PROD01029,10,-11131.76,111317.6,yes,
ITEM00000274,ORD0000088,PROD00016,10,45438.72,454387.2,No,DELHI WH
ITEM00000275,ORD0000089,PROD01819,4,57533.23,230132.92,no,NA
ITEM00000276,ORD0000090,PROD00272,1,57847.18,57847.18,No,mumbai wh
ITEM00000277,ORD0000090,PROD00848,5,18158.53,90792.65,,Hyderabad WH
ITEM00000278,ORD0000090,PROD99980,2,3586.38,7172.76,0,mumbai wh
ITEM00000279,ORD0000090,PROD00689,10,25234.77,252347.7,No,HYD
ITEM00000280,ORD0000091,PROD01263,5,35343.36,176716.8,No,HYD
ITEM00000281,ORD0000091,PROD00560,-1,73596.63,588773.04,No,BLR
ITEM00000282,ORD0000091,PROD00738,6,10126.9,60761.4,no,
ITEM00000283,ORD0000091,PROD00709,10,59423.86,594238.6,No,DELHI WH
ITEM00000284,ORD0000092,PROD00049,2,27025.8,54051.6,No,Mumbai WH
ITEM00000285,ORD0000092,PROD00672,5,70284.88,351424.4,No,
ITEM00000286,ORD0000093,PROD00100,5,66181.58,330907.9,No,Bangalore WH
ITEM00000287,ORD0000093,PROD01779,8,72047.35,576378.8,No,Mumbai WH
ITEM00000288,ORD0000093,PROD01077,6,51403.57,308421.42,No,Delhi WH
ITEM00000289,ORD0000093,PROD01699,2,78345.16,156690.32,No,
ITEM00000290,ORD0000094,PROD01041,7,49023.92,343167.44,No,BLR
ITEM00000291,ORD0000094,PROD01127,3,49810.2,,No,Mumbai WH
ITEM00000292,ORD0000094,PROD01609,4,58166.96,232667.84,No,Bangalore WH
ITEM00000293,ORD0000095,PROD01394,9,35342.07,318078.63,No,
ITEM00000294,ORD0000095,PROD00145,6,59915.15,0,No,Mumbai WH
ITEM00000295,ORD0000095,PROD00361,9,13485.96,121373.64,No,Bangalore WH
ITEM00000296,ORD0000096,PROD01796,3,,59188.5,No,Bangalore WH
ITEM00000297,ORD0000096,PROD01294,7,74175.73,519230.11,No,Delhi WH
ITEM00000298,ORD0000096,PROD01953,9,38158.67,343428.03,No,DELHI WH
ITEM00000299,ORD0000096,PROD92463,1,65054.95,65054.95,No,Hyderabad WH
ITEM00000300,ORD0000097,PROD00136,6,70873.31,425239.86,No,Bangalore WH
ITEM00000301,ORD0000097,PROD01164,4,34373.33,137493.32,No,
ITEM00000302,ORD0000097,PROD00962,6,11033.99,66203.94,No,DELHI WH
ITEM00000303,ORD0000097,PROD01718,7,70539.68,493777.76,yes,mumbai wh
ITEM00000304,ORD0000097,PROD01583,8,32286.42,258291.36,No,NA
ITEM00000305,ORD0000098,PROD00454,-1,14033.44,56133.76,No,BLR
ITEM00000306,ORD0000098,PROD01438,6,5860.45,35162.7,No,Delhi WH
ITEM00000307,ORD0000098,PROD00607,4,64235.73,256942.92,No,HYD
ITEM00000308,ORD0000098,PROD01249,8,51719.15,413753.2,No,NA
ITEM00000309,ORD0000098,PROD00194,2,15012.55,30025.1,No,Mumbai WH
ITEM00000310,ORD0000099,PROD00309,1,38335.36,38335.36,No,HYD
ITEM00000311,ORD0000099,PROD00722,3,74898.19,224694.57,no,HYD
ITEM00000312,ORD0000099,PROD01726,5,76534.33,382671.65,No,HYD
ITEM00000313,ORD0000100,PROD00620,-1,69922.27,629300.43,No,NA
ITEM00000314,ORD0000100,PROD00365,4,-931.64,3726.56,No,
ITEM00000315,ORD0000101,PROD01845,6,16348.63,-98091.78,No,Hyderabad WH
ITEM00000316,ORD0000101,PROD00030,4,47355.22,,No,Bangalore WH
ITEM00000317,ORD0000101,PROD00945,2,69633.77,139267.54,No,NA
ITEM00000318,ORD0000102,PROD01931,1,75792.83,75792.83,No,HYD
ITEM00000319,ORD0000102,PROD01005,3,34709.0,104127.0,No,BLR
ITEM00000320,ORD0000102,PROD01313,8,8841.78,70734.24,Yes,mumbai wh
ITEM00000321,ORD0000102,PROD01737,1,75209.9,75209.9,No,Bangalore WH
ITEM00000322,ORD0000103,PROD01803,5,47673.63,238368.15,Yes,Bangalore WH
ITEM00000323,ORD0000103,PROD01914,4,,129801.44,No,NA
ITEM00000324,ORD0000103,PROD00161,1,16214.56,16214.56,1,BLR
ITEM00000325,ORD0000103,PROD01078,1,0,41410.12,No,
ITEM00000326,ORD0000104,PROD00202,3,15014.66,45043.98,No,
ITEM00000327,ORD0000105,PROD01034,2,4363.54,8727.08,No,Chennai WH
ITEM00000328,ORD0000105,PROD01959,10,12255.8,122558.0,No,
ITEM00000329,ORD0000105,PROD00689,0,57044.26,57044.26,No,Bangalore WH
ITEM00000330,ORD0000106,PROD01086,,43939.47,175757.88,No,Bangalore WH
ITEM00000331,ORD0000106,PROD01608,6,106.38,638.28,No,Chennai WH
ITEM00000332,ORD0000106,PROD00028,8,-60684.49,,,Delhi WH
ITEM00000333,ORD0000107,PROD00473,3,71168.11,213504.33,No,Delhi WH
ITEM00000334,ORD0000107,PROD00924,3,-12479.77,37439.31,No,
ITEM00000335,ORD0000107,PROD00475,2,49306.24,98612.48,No,
ITEM00000336,ORD0000108,PROD00390,3,5626.62,16879.86,No,NA
ITEM00000337,ORD0000108,PROD00999,1,54247.3,54247.3,No,HYD
ITEM00000338,ORD0000109,PROD00894,2,64960.07,129920.14,Yes,NA
ITEM00000339,ORD0000109,PROD00817,8,66543.9,532351.2,no,mumbai wh
ITEM00000340,ORD0000109,PROD01515,6,64223.81,385342.86,No,Hyderabad WH
ITEM00000341,ORD0000109,PROD00764,9,-18690.19,168211.71,No,Hyderabad WH
ITEM00000342,ORD0000110,PROD01753,4,67759.32,271037.28,No,
ITEM00000343,ORD0000111,PROD00710,10,21367.09,213670.9,No,Mumbai WH
ITEM00000344,ORD0000111,PROD01678,5,34669.45,173347.25,No,Hyderabad WH
ITEM00000345,ORD0000111,PROD00524,0,46972.72,,No,Chennai WH
ITEM00000346,ORD0000111,PROD01512,8,16884.59,135076.72,No,
