order_id,customer_id,order_date,delivery_date,status,payment_method,total_amount,shipping_charges,discount_applied,city,promo_code
ORD0000106,CUST000569,2024-05-19,2024-06-01,delivered,Net Banking,135393.11,484.05,53416.75,LUCKNOW,
ORD0000107,CUST003715,2023-10-05,2023-10-06,Shipped,Debit Card,26765.44,196.54,7792.48,Bangalore,
ORD0000108,CUST008821,2025-11-16,2025-11-28,Processing,Cod,53785.11,57.68,17493.41,hyderabad,SALE65
ORD0000109,CUST002629,2026-03-16,2026-03-22,Delivered,Debit Card,148953.75,470.45,35325.87,Mumbai,
ORD0000110,CUST99142,2024-04-14,2024-04-15,Cancelled,Debit Card,101789.34,-50,14899.41,ahmedabad,
ORD0000111,CUST007061,2026-04-04,,Shipped,online,17835.83,408.32,1583.68,Mumbai,
ORD0000112,CUST009367,22-01-2026,06/02/2026,Returned,UPI ,68524.49,407.51,4971.69,lucknow,
ORD0000113,CUST006431,2024-06-23,2024/24/06,delivered,Card,100248.97,139.45,39461.72,MUMBAI,
ORD0000114,CUST007662,2023-10-03,2023-10-14,CANCELLED,Wallet,30167.78,270.58,,Kolkata,
ORD0000115,CUST005817,2024-05-14,2024-05-23,Returned,Card,17003.98,33.33,760.02,Mumbai,
ORD0000116,CUST005393,13-05-2026,20/05/2026,Processing,Debit Card,110172.5,306.63,,Patna,
ORD0000117,CUST009088,2025-05-30,14-06-2025,Delivered,Cash on Delivery,78962.57,31.21,2071.96,Kolkata,
ORD0000118,CUST007840,2025-08-02,2025-08-03,returned,credit card,9999999,404.06,1115.51,NAGPUR,
ORD0000119,CUST000461,2026-05-21,,In Transit,UPI ,15707.61,158.48,,Patna,
ORD0000120,CUST008415,2023-10-13,,returned,EMI,146112.77,-50,16219.25,Nagpur,SALE23
ORD0000121,CUST005308,2023-08-18,21/08/2023,,credit card,-72734.53,277.16,1403.36,,
ORD0000122,CUST009916,2024-08-27,,CANCELLED,Credit Card,4250.53,167.64,1518.1,Mumbai,
ORD0000123,CUST005618,2023-10-31,2023-11-14,returned,Wallet,91418.09,148.58,5879.55,Jaipur,
ORD0000124,CUST007996,,2026-04-01,cancelled,Credit Card,17808.08,433.84,5334.71,Jaipur,
ORD0000125,CUST009196,2025-07-15,,NA,COD,19733.43,100.88,5956.68,Lucknow,
ORD0000126,CUST006939,2024-02-22,2024-02-24,CANCELLED,Wallet,-139912.21,248.68,28578.51,Patna,
ORD0000127,CUST000587,2025-12-04,2025-12-19,Cancelled,Credit Card,-143380.57,347.02,54863.48,Hyderabad,
ORD0000128,CUST006081,2024-05-30,2024-06-11,Cancelled,EMI,53627.64,204.94,5396.2,Patna,
ORD0000129,CUST006247,2024-11-21,2024-12-01,,Cash on Delivery,68972.03,474.26,,Kolkata,
ORD0000130,CUST009541,2023-09-01,2023-09-16,In Transit,Debit Card,87322.74,483.63,32545.65,patna,SALE68
ORD0000131,CUST009598,29/02/2024,2024-03-09,Returned,Debit Card,,49.8,5948.83,BANGALORE,
ORD0000132,CUST009302,,2023-10-30,Shipped,N/A,106450.58,123.52,20477.06,Delhi ,SALE05
ORD0000133,CUST004482,2024-02-27,2024-03-04,shipped,online,140942.33,365.19,46439.13,Bangalore ,
ORD0000134,CUST003805,22-08-2023,2023-08-28,SHIPPED,UPI,,144.75,5000.07,Ahmedabad,
ORD0000135,CUST008504,21-04-2025,2025-04-22,DELIVERED,upi,136980.42,203.46,,Nagpur,
ORD0000136,CUST001039,19/07/2023,2023-07-29,cancelled,COD,46227.06,-50,1800.64,Lucknow,
ORD0000137,CUST007459,2023-08-19,2023-08-27,cancelled,Credit Card,4654.65,311.42,644.67,SURAT,SALE25
ORD0000138,CUST006577,2024-09-11,19/09/2024,returned,Debit Card,48791.84,300.95,18902.35,kolkata,SALE85
ORD0000139,CUST001031,04-10-2023,2023-10-12,cancelled,Card,3747.02,232.72,441.98,Nagpur,
ORD0000140,CUST009919,2026-01-27,2026-02-03,returned,Debit Card,,,12424.32,Bangalore,
ORD0000141,CUST006620,2025-08-02,2025-08-13,Shipped,upi,26185.4,43.88,3383.58,Chennai,SALE92
ORD0000142,CUST003001,2023-08-21,2023-09-05,canceled,Net Banking,25662.75,490.61,5982.93,Hyderabad,
ORD0000143,CUST000297,01-06-2024,,canceled,Credit Card,42698.01,186.01,16523.93,Ahmedabad,
ORD0000144,CUST008223,,,In Transit,Credit Card,94410.88,257.78,24845.52,Pune,
ORD0000145,CUST007593,2025-09-24,,shipped,EMI,104325.25,14.84,7390.85, Chennai,
ORD0000146,CUST000122,2024-07-07,2024-07-16,DELIVERED,N/A,84613.82,313.0,12709.13,hyderabad,
ORD0000147,CUST005183,2026-04-04,2026-04-18,NA,Debit Card,145178.28,388.59,53044.45,lucknow,
ORD0000148,CUST003112,2024-07-13,,,EMI,0,161.85,2929.4,Jaipur,SALE78
ORD0000149,CUST000741,2024-09-17,2024-10-01,Shipped,UPI,30862.89,9.01,3522.1,Delhi,SALE02
ORD0000150,CUST002791,,2024-06-09,Pending,UPI ,23743.86,348.69,1542.28,ahmedabad,SALE48
ORD0000151,CUST007435,2025-07-04,2025-07-08,Returned,Wallet,117616.75,396.99,23336.89,Hyderabad,
ORD0000152,CUST007713,2024-03-15,2024-03-30,,Cash on Delivery,99156.6,468.88,33576.25,Hyderabad,SALE74
ORD0000153,CUST006077,09-09-2024,2024-09-15,,Net Banking,26478.75,21.99,323.01,Ahmedabad,
ORD0000154,CUST000051,2024-06-29,2024-07-05,SHIPPED,Credit Card,76895.86,424.41,16134.55, Indore,
ORD0000155,CUST003078,2025-04-01,2025-04-02,DELIVERED,Credit Card,11621.9,65.38,,Bhopal,SALE33
ORD0000156,CUST007400,2025-06-30,2025-07-05,delivered,N/A,1118.67,144.27,1.72,Indore,
ORD0000157,CUST003060,2025-07-01,2025-07-04,CANCELLED,Card,91366.97,283.27,19562.05,Nagpur,
ORD0000158,CUST002574,2026-05-19,28/05/2026,CANCELLED,Wallet,3852.02,65.89,544.45, Bangalore,
ORD0000159,CUST005350,2023-08-10,2023-08-11,Cancelled,online,25125.93,230.93,2500.14,Delhi,
ORD0000160,CUST009535,2025-02-12,2025-02-21,Processing,N/A,88232.38,227.55,21651.09,Jaipur,
ORD0000161,CUST004104,2026-03-19,2026-03-22,SHIPPED,EMI,72561.17,145.93,,Lucknow,
ORD0000162,CUST008606,2025-12-27,2026-01-03,returned,UPI ,80865.96,32.79,745.35,Ahmedabad,
ORD0000163,CUST001521,2024-06-25,2024-06-28,returned,online,95588.53,46.27,12142.96,Lucknow,
ORD0000164,CUST001130,2024-07-09,2024-07-18,delivered,upi,99246.11,215.82,25479.94,Mumbai,
ORD0000165,CUST004897,09-08-2025,,returned,UPI,82860.18,112.25,19557.8,Chennai,SALE37
ORD0000166,CUST006667,2025-03-12,2025-03-21,DELIVERED,Card,77045.86,271.69,25179.79,Indore,
ORD0000167,CUST001700,,2024-11-05,Cancelled,N/A,135672.27,442.93,428.58,Jaipur,
ORD0000168,CUST004562,,2025-07-25,SHIPPED,Card,20646.67,454.46,,Nagpur,
ORD0000169,CUST000407,,2024-02-22,Shipped,Debit Card,18572.8,11.65,,Hyderabad,SALE94
ORD0000170,CUST007780,2025-05-19,2025-05-20,returned,Cash on Delivery,37515.49,408.43,11437.33,Chennai,
ORD0000171,CUST009329,2025-10-21,2025-10-28,shipped,EMI,5832.23,220.24,2323.83,Surat,
ORD0000172,CUST009367,2024-11-03,2024-11-09,shipped,COD,20352.1,339.57,962.57,indore,SALE71
ORD0000173,CUST99255,10-01-2025,20-01-2025,Delivered,EMI,101673.79,310.2,26211.28,Indore ,
ORD0000174,CUST006865,2025-09-17,30/09/2025,DELIVERED,UPI ,118762.47,438.7,38898.33,Jaipur,
ORD0000175,CUST002880,,2024-03-11,Cancelled,Cod,70235.54,296.84,22592.08,Hyderabad,
ORD0000176,CUST002438,2026-03-15,2026-03-26,delivered,Net Banking,59166.56,398.54,8591.69,Hyderabad,SALE72
ORD0000177,CUST000884,31-12-2025,2026-01-04,SHIPPED,Cod,126128.26,311.01,1604.13,Kolkata,SALE69
ORD0000178,CUST000978,2024-07-29,2024-08-05,In Transit,COD,142131.92,407.04,45496.61,DELHI,
ORD0000179,CUST004845,2025-06-13,2025-06-19,Cancelled,Cash on Delivery,135183.4,237.2,761.96,Patna,
ORD0000180,CUST008395,2025-05-23,2025-06-06,DELIVERED,online,62339.08,299.5,20142.03,Bangalore,SALE63
ORD0000181,CUST005224,2025-07-24,2025-07-26,SHIPPED,upi,8642.71,185.84,486.02,Kolkata,
ORD0000182,CUST004840,,2024/24/05,Processing,credit card,145750.83,204.06,27113.55,Indore,
ORD0000183,CUST009007,2024-09-06,13-09-2024,cancelled,Card,88794.33,32.62,30496.97,Delhi,SALE64
ORD0000184,CUST99268,2023-09-23,2023-10-08,Cancelled,upi,23996.5,465.29,8085.81,Pune,SALE48
ORD0000185,CUST009836,2026-03-19,2026-04-01,DELIVERED,COD,49203.43,280.09,5017.31,Bhopal,
ORD0000186,CUST000780,2025-04-01,,,Net Banking,16342.8,225.61,397.31,Kolkata,SALE06
ORD0000187,CUST006192,2023-06-17,,DELIVERED,Wallet,56506.6,446.11,9086.16,Pune,
ORD0000188,CUST003070,2024-09-24,2024-09-30,Processing,Cod,24666.21,214.2,6647.65,Hyderabad,
ORD0000189,CUST003664,2026-02-05,2026-02-12,CANCELLED,UPI ,118050.26,-50,42088.57,Nagpur ,SALE42
ORD0000190,CUST006175,,2024-12-09,Shipped,Cod,110486.68,212.34,31837.84,Bhopal ,SALE34
ORD0000191,CUST000319,2024-05-20,2024-06-02,cancelled,UPI,26957.07,178.44,6259.66,Delhi,SALE42
ORD0000192,CUST004206,2024-08-30,2024-09-12,CANCELLED,N/A,99357.27,308.9,13062.66,indore,
ORD0000193,CUST009554,2025-01-21,28-01-2025,shipped,UPI ,64725.1,242.57,21282.38,Ahmedabad,SALE30
ORD0000194,CUST005829,01/01/2025,03/01/2025,Processing,UPI ,143906.04,68.61,2005.91,Mumbai,SALE43
ORD0000195,CUST000935,2025-12-31,2026-01-12,Pending,Wallet,7486.63,22.03,76.98,Mumbai,
ORD0000196,CUST003613,2026/11/03,2026-03-26,canceled,Debit Card,148975.03,247.83,10306.57,Hyderabad,SALE15
ORD0000197,CUST008727,2023-07-17,2023-07-31,canceled,EMI,22296.8,130.24,5820.74,Bhopal,
ORD0000198,CUST000012,2023-06-16,2023-06-21,SHIPPED,online,65357.47,481.85,18507.32,BHOPAL,SALE28
ORD0000199,CUST003092,2025-05-16,,Processing,EMI,31185.5,61.8,263.08,JAIPUR,
ORD0000200,CUST004194,2026-05-20,24-05-2026,Processing,EMI,140634.38,9999,45081.79,Indore,
ORD0000201,CUST005635,2023-08-25,2023-09-05,shipped,credit card,13561.85,359.07,3281.95,lucknow,
ORD0000202,CUST007718,2024-05-03,2024-05-08,Cancelled,Cash on Delivery,106893.19,57.04,,nagpur,SALE30
ORD0000203,CUST003126,,28-03-2026,Returned,,81610.91,52.52,18159.06,Indore,
ORD0000204,CUST004194,2026-05-20,24-05-2026,Processing,EMI,140634.38,9999,45081.79,Indore,
ORD0000205,CUST002816,2024-08-21,2024-08-30,Processing,Net Banking,63975.31,481.8,,Lucknow,SALE09
ORD0000206,CUST006335,2025-09-03,2025-09-08,Processing,UPI ,14443.49,38.82,,Hyderabad,
ORD0000207,CUST000726,2024-07-30,2024-08-11,SHIPPED,Debit Card,12330.88,173.89,2631.07,Pune,
ORD0000208,CUST99592,,2026-05-20,returned,credit card,143982.75,34.74,52885.43,Hyderabad,SALE26
ORD0000209,CUST99551,2025-07-25,2025-07-27,canceled,upi,3894.76,261.08,746.01,Hyderabad ,
ORD0000210,CUST008071,,09-01-2026,CANCELLED,Cash on Delivery,93038.87,178.48,17402.6,Hyderabad,SALE59
ORD0000211,CUST005563,2026-02-12,2026-02-25,CANCELLED,,43649.45,70.54,17423.26,,
ORD0000212,CUST000128,01-01-2026,2026-01-07,In Transit,Wallet,36147.72,151.97,10116.46,Bhopal,
ORD0000213,CUST008557,10/09/2024,2024-09-11,CANCELLED,,131688.96,119.67,41392.91,surat,
ORD0000214,CUST004364,2025-07-20,,Returned,N/A,98928.72,113.44,6397.48,Mumbai,
ORD0000215,CUST001234,2023-12-06,,In Transit,UPI,62001.8,453.93,10834.45,Surat,
ORD0000216,CUST007311,2024-04-09,13/04/2024,Delivered,upi,6091.35,279.51,2375.51,Surat,SALE22
ORD0000217,CUST007396,2025-02-09,2025-02-23,DELIVERED,Net Banking,23713.96,153.01,,Mumbai,
ORD0000218,CUST005148,,2025-09-02,,upi,12734.56,325.29,653.59,Jaipur,
ORD0000219,CUST007351,2026-02-04,,Shipped,Cash on Delivery,95121.41,123.21,18663.36,bangalore,SALE83
ORD0000220,CUST003853,2025-11-20,2025-11-21,canceled,,113436.7,314.42,4656.04,CHENNAI,
ORD0000221,CUST008114,22/10/2025,2025-11-02,DELIVERED,Debit Card,94136.38,416.63,32147.27,LUCKNOW,
ORD0000222,CUST002220,,,In Transit,Debit Card,26089.34,379.24,6518.49,Bangalore,
ORD0000223,CUST008651,2025-12-31,2026-01-13,canceled,Wallet,66506.37,-50,19369.43,Bhopal,
ORD0000224,CUST005363,2026-01-15,2026-01-17,cancelled,Cod,8374.76,153.58,3084.54, Bhopal,
ORD0000225,CUST009243,2026-02-28,,SHIPPED,EMI,68929.91,492.1,15081.3,Surat,
ORD0000226,CUST007853,2025-01-30,2025-02-06,NA,Card,115211.46,464.98,18409.2,Surat,
ORD0000227,CUST001444,2023-09-11,2023-09-16,Pending,Card,133748.87,400.71,,Hyderabad,SALE64
ORD0000228,CUST003585,2026-05-22,,canceled,credit card,45881.81,59.22,8172.67,Mumbai,SALE60
ORD0000229,CUST009608,2026-03-28,2026-04-02,,Credit Card,124605.83,317.81,17480.84,Jaipur,
ORD0000230,CUST003944,2024-05-31,,Shipped,Wallet,25497.88,220.87,1378.63,Surat,
ORD0000231,CUST002167,21-12-2025,2025-12-22,CANCELLED,credit card,131577.94,205.02,14455.2,Ahmedabad,SALE73
ORD0000232,CUST003379,2025-02-13,2025-02-25,shipped,UPI,146896.11,351.22,10562.3,AHMEDABAD,SALE44
ORD0000233,CUST007679,2025-01-18,2025-01-21,delivered,Wallet,95474.84,285.27,36839.18,Lucknow,
ORD0000234,CUST008950,2024-12-02,2024-12-11,Pending,N/A,0,327.92,11514.91,LUCKNOW,SALE97
ORD0000235,CUST009530,2026-04-06,2026-04-09,Shipped,N/A,34721.87,108.35,7983.06,Mumbai,SALE61
ORD0000236,CUST008329,2025-02-22,,returned,UPI ,99739.17,286.85,22859.36,bhopal,
ORD0000237,CUST008702,13/08/2024,2024-08-22,Returned,EMI,47968.27,489.12,12067.4,Kolkata,
ORD0000238,CUST005889,2025-12-28,2026-01-01,In Transit,Credit Card,97853.89,392.87,13942.06,Bhopal,
ORD0000239,CUST006037,2024-06-19,21-06-2024,In Transit,Cod,34556.5,78.76,12413.52,Jaipur,
ORD0000240,CUST009166,2023-12-08,,Delivered,EMI,73042.78,283.55,10781.03,Bhopal,
ORD0000241,CUST003285,2025-08-19,2025/02/09,returned,Net Banking,59166.89,418.1,9550.25,Chennai,
ORD0000242,CUST006658,2024-10-29,,Processing,upi,108446.6,433.55,39342.33,Kolkata ,
ORD0000243,CUST006736,2023-11-05,2023-11-17,Returned,Cash on Delivery,59312.92,480.58,6214.0,Bangalore ,SALE31
ORD0000244,CUST000324,2025-03-29,,Delivered,EMI,71520.16,77.64,27941.42,Kolkata,SALE30
ORD0000245,CUST008579,2024-03-18,2024-04-02,,COD,133378.96,63.32,7978.75,Nagpur,SALE81
ORD0000246,CUST002883,2025-03-12,2025-03-18,Returned,credit card,19797.41,44.72,5788.08,Bangalore,
ORD0000247,CUST002403,2026-04-17,2026-04-28,SHIPPED,,45386.93,49.34,9992.87,BHOPAL,SALE22
